id,name,party,state,vote.6350,vote.6351,vote.6352,vote.6354,vote.6356,vote.6357,vote.6358,vote.6359,vote.6360,vote.6362,vote.6363,vote.6368,vote.6369,vote.6370,vote.6371,vote.6372,vote.6373,vote.6374,vote.6375,vote.6377,vote.6378,vote.6379,vote.6380,vote.6381,vote.6382,vote.6384,vote.6385,vote.6386
142,ANDERSON FERREIRA,PR,PE,2,2,2,1,2,2,1,1,4,2,1,4,4,1,2,1,1,1,1,1,1,1,2,4,1,1,2,2
143,GONZAGA PATRIOTA,PSB,PE,4,2,2,2,1,2,2,1,4,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,1,2,5,2
144,DANIEL COELHO,PSDB,PE,2,1,1,3,3,2,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,1,2,1,2,5,2
146,BRUNO ARAUJO,PSDB,PE,4,1,1,1,3,4,1,1,2,1,1,2,2,1,2,1,2,1,1,3,1,2,2,2,1,1,5,2
147,JARBAS VASCONCELOS,PMDB,PE,2,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,1,2
149,JOAO FERNANDO COUTINHO,PSB,PE,2,2,2,2,1,2,1,1,2,1,2,4,2,1,1,1,1,1,1,1,1,2,1,3,1,2,5,2
150,JORGE CORTE REAL,PTB,PE,2,2,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2
151,KAIO MANICOBA,PHS,PE,2,4,1,1,2,2,1,1,4,2,1,2,2,1,2,1,1,1,1,2,1,2,2,4,3,1,2,4
152,MARINALDO ROSENDO,PSB,PE,4,2,1,2,2,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,5,2
153,LUCIANA SANTOS,PCdoB,PE,1,2,1,2,1,1,2,1,4,2,1,2,2,2,2,1,1,4,4,1,1,1,2,2,1,2,2,4
154,MENDONCA FILHO,DEM,PE,4,1,1,1,3,2,1,2,4,2,1,1,1,2,2,1,2,4,1,4,1,1,2,2,2,2,2,2
155,PASTOR EURICO,PSB,PE,2,2,1,1,3,2,2,2,4,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,5,4
156,EDUARDO DA FONTE,PP,PE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,4,4,4,1,4,4,4,4,1,1,4,4
157,RICARDO TEOBALDO,PTB,PE,2,2,1,1,2,2,1,1,4,2,1,1,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4
158,FERNANDO COELHO FILHO,PSB,PE,2,2,2,1,2,2,1,1,4,1,2,1,2,1,1,1,1,1,1,2,1,4,2,3,1,1,5,2
160,SILVIO COSTA,PSC,PE,2,2,2,1,2,2,1,1,4,1,2,2,2,2,2,1,2,1,1,2,1,2,4,2,2,1,2,2
161,TADEU ALENCAR,PSB,PE,2,2,2,2,1,1,2,1,4,1,2,2,2,1,1,1,2,2,1,1,1,1,1,3,1,2,5,2
162,ARTHUR LIRA,PP,AL,2,2,1,1,2,2,1,1,2,2,1,1,4,2,4,4,2,2,1,2,4,2,4,2,1,1,4,4
163,ZECA CAVALCANTI,PTB,PE,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,1,1,1,1,4,4,4,4,4,4,1,2,2
164,WOLNEY QUEIROZ,PDT,PE,2,2,2,2,1,1,2,1,4,1,1,4,2,2,1,1,1,1,1,4,1,2,4,2,1,1,2,2
165,CICERO ALMEIDA,PRTB,AL,2,2,1,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2
166,GIVALDO CARIMBAO,PROS,AL,2,1,2,1,2,2,1,1,2,2,1,2,4,1,2,1,1,1,1,2,1,1,2,2,1,1,1,2
167,JHC,Solidarie,AL,4,2,2,2,1,3,2,1,4,2,1,2,1,2,1,1,4,4,4,1,1,1,2,2,1,1,1,4
168,MAURICIO QUINTELLA LESSA,PR,AL,2,2,2,1,2,2,1,1,4,2,1,2,2,1,1,1,1,1,1,3,1,2,4,2,1,1,4,4
169,MARX BELTRAO,PMDB,AL,2,2,1,1,2,2,1,2,2,2,1,1,1,1,1,1,2,1,4,4,1,1,2,2,1,2,2,4
170,PAULAO,PT,AL,2,2,2,2,1,3,2,1,4,1,1,4,2,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2
172,PEDRO VILELA,PSDB,AL,4,4,4,4,4,4,4,4,4,4,4,2,1,2,2,1,1,1,1,3,1,2,2,2,1,2,5,2
173,RONALDO LESSA,PDT,AL,2,2,2,4,4,4,4,4,4,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,1,1,5,4
174,ANDRE MOURA,PSC,SE,2,2,1,1,2,2,1,1,4,2,4,4,4,1,1,4,1,1,4,1,1,4,4,2,1,1,4,4
175,ADELSON BARRETO,PTB,SE,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,2,2,1,1,2,4
